13:44:19 [AccountInfo] Account connected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
13:46:12 [AccountInfo] Account disconnected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
13:46:25 [AccountInfo] Account connected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
13:47:31 [AccountInfo] Account disconnected by clear (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
15:15:12 [AccountInfo] Account connected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
15:15:42 [AccountInfo] Account disconnected by clear (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
19:06:22 [AccountInfo] Account connected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
19:06:55 [AccountInfo] Account disconnected by clear (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
19:11:12 [AccountInfo] Account connected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
19:12:13 [AccountInfo] Account disconnected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
19:57:19 [AccountInfo] Account connected (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
19:57:41 [AccountInfo] Account disconnected by clear (Account: pakito, IpAddress: 192.168.2.65, GameServerCode: 0)
